"DAP","Env","LON","LAT","DOY","YYYYMMDD","daysFromStart","T2M","T2M_MAX","T2M_MIN","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","ALLSKY_SFC_SW_DNI","ALLSKY_SFC_PAR_TOT","ALLSKY_SFC_UVA","ALLSKY_SFC_UVB","PRECTOT","EVPTRNS","QV2M","RH2M","GWETROOT","GWETTOP","FROST_DAYS","WS2M","P_ETP","VPD","N","RTA","n","TH1","TH2","n.1","N.1","RTA.1","VPD.1","SPV","ETP","PETP","GDD","FRUE","T2M_RANGE","PTT","PTR","PAR_TEMP"
11,"TXH2.2021",-96.4284433,30.5378851,79,"2021-03-20",11,12.4,20.23,6.2,6,24.57,24.41,33.89,10.83,1.37,0.03,0,1.72,5.75,68.77,0.58,0.56,0,1.37,-1.72,0.72482557,12.091,32.223,12.717,54.9520952,55.76,9.04838356187483,11.9445636733526,32.2230813131142,0.724825569659984,0.0992657231856277,10.1343414964178,-10.1343414964178,6.115,0.237045454545455,14.03,73.936465,1.9772690106296,NA
12,"TXH2.2021",-96.4284433,30.5378851,80,"2021-03-21",12,13.51,22.17,6.21,7.93,25.06,24.28,32.07,10.7,1.35,0.03,0.01,1.7,6.63,72.99,0.57,0.55,0,2.05,-1.69,0.742432281,12.123,32.419,11.992,56.56786951,57.5648,8.96954344886621,11.9762894696049,32.4190757288504,0.742432280786171,0.104946470782946,10.1864563177697,-10.1764563177697,7.085,0.281363636363636,15.96,85.891455,1.71107974594213,0.792005922
13,"TXH2.2021",-96.4284433,30.5378851,81,"2021-03-22",13,16.56,22.88,10.04,13.46,31.24,6.27,1.12,3.22,0.46,0.01,9.9,0.65,9.72,83.54,0.58,0.59,0,3.37,9.25,0.466730194,12.154,32.614,0.417,61.46326176,62.6056,2.30854234679497,12.0080195331553,32.6137757782143,0.46673019365928,0.119252510937798,2.68986431911794,7.21013568088206,8.46,0.384545454545455,12.84,102.82284,1.43664302600473,0.194444444
14,"TXH2.2021",-96.4284433,30.5378851,82,"2021-03-23",14,19.25,25.95,13.22,11.44,27.35,25.08,33.07,11.01,1.4,0.03,3.79,3.21,8.74,66.22,0.59,0.6,0,1.75,0.58,1.083849279,12.185,32.807,12.283,65.0429165,64.5684,9.20400641809669,12.039748153544,32.8071135518966,1.08384927872876,0.141629752196753,11.0483375014175,-7.25833750141749,11.585,0.526590909090909,12.73,141.163225,1.05179110919292,0.571948052
15,"TXH2.2021",-96.4284433,30.5378851,83,"2021-03-24",15,19.29,27.03,10.58,15.94,32.18,8.11,3.63,3.99,0.56,0.01,0.77,2.14,11.8,81.85,0.59,0.57,0,2.6,-1.37,0.61271605,12.216,32.999,1.344,65.85132635,66.2284,2.96674295410259,12.071469618724,32.999022875396,0.612716050370066,0.135736128395372,3.55058971608861,-2.78058971608861,10.805,0.491136363636364,16.45,131.99388,1.13058769088385,0.206842924
16,"TXH2.2021",-96.4284433,30.5378851,84,"2021-03-25",16,18.33,24.17,12.83,11.23,29.32,24.25,30.58,10.86,1.39,0.03,0.35,2.44,8.67,67.97,0.58,0.56,0,2.55,-2.09,0.914899551,12.247,33.189,11.284,63.76190199,63.5728,8.84323680346298,12.1031782087841,33.1894393518989,0.914899550573492,0.133488758058164,10.5902905802229,-10.2402905802229,10.5,0.477272727272727,11.34,128.5935,1.16638095238095,0.592471358
17,"TXH2.2021",-96.4284433,30.5378851,85,"2021-03-26",17,18.36,28.29,9.04,10.36,27.27,24.93,32.43,11.04,1.4,0.03,0,2.81,8.01,64.63,0.58,0.55,0,1.77,-2.81,1.239754588,12.278,33.378,11.929,63.67691732,63.2896,9.06344122747625,12.1348681896865,33.3783004022549,1.23975458757161,0.13470060184045,10.9020161955636,-10.9020161955636,10.665,0.484772727272727,19.25,130.94487,1.15124238162213,0.60130719
18,"TXH2.2021",-96.4284433,30.5378851,86,"2021-03-27",18,22.64,29.77,15.65,19.39,34.81,9.99,2.86,4.85,0.66,0.01,0.49,1.83,14.14,81.67,0.57,0.55,0,2.6,-1.34,0.731267279,12.309,33.566,1.049,71.26477712,70.8204,3.62108440779753,12.16653380703,33.5655453019822,0.731267279346056,0.167463116799537,4.50016254361379,-4.01016254361379,14.71,0.668636363636364,14.12,181.06539,0.836777702243372,0.214222615
19,"TXH2.2021",-96.4284433,30.5378851,87,"2021-03-28",19,17.4,23.22,10.41,6.97,29.21,16.07,15.17,7.41,1,0.03,0.27,1.97,6.43,54.75,0.57,0.54,0,4.33,-1.7,1.054743773,12.34,33.751,5.546,61.995985,61.1092,5.80794379910439,12.198169279851,33.751115215239,1.05474377308826,0.121632896554959,6.91651819742093,-6.64651819742093,8.815,0.400681818181818,12.81,108.7771,1.39988655700511,0.425862069
20,"TXH2.2021",-96.4284433,30.5378851,88,"2021-03-29",20,16.26,24.65,8.23,5.72,26.28,25.43,34.04,11.25,1.45,0.03,0.03,1.94,5.77,54.68,0.56,0.53,0,2.06,-1.91,1.178836596,12.371,33.935,12.409,60.45341832,59.5192,9.16468098172728,12.2297687944733,33.9349532257085,1.1788365959984,0.119119589603813,10.9075949609254,-10.8775949609254,8.44,0.383636363636364,16.42,104.41124,1.46575829383886,0.691881919
21,"TXH2.2021",-96.4284433,30.5378851,89,"2021-03-30",21,21.83,29.22,14.53,17.26,34.14,11.18,2.57,5.43,0.74,0.02,0.01,1.46,12.45,77.05,0.56,0.53,0,3.46,-1.45,0.885738243,12.401,34.117,0.934,69.61596485,69.2436,4.01798554141424,12.261326498419,34.11700436435,0.885738242761936,0.16019930427084,5.00811862996382,-4.99811862996382,13.875,0.630681818181818,14.69,172.063875,0.893765765765766,0.248740266
22,"TXH2.2021",-96.4284433,30.5378851,90,"2021-03-31",22,18.81,23.03,11.12,12.15,31.25,14.5,7.53,6.86,0.91,0.02,0.43,1,9.4,68.11,0.55,0.52,0,3.72,-0.57,0.652362391,12.432,34.297,2.729,64.47974609,64.384,5.19710203507337,12.2928364943922,34.2972156339761,0.652362390633988,0.123401743370837,6.25538659582213,-5.82538659582213,9.075,0.4125,11.91,112.8204,1.3699173553719,0.364699628
23,"TXH2.2021",-96.4284433,30.5378851,91,"2021-04-01",23,13.55,21.66,6.28,2.03,23.67,27.24,38.8,11.81,1.51,0.04,0,1.26,4.4,51.94,0.55,0.52,0,2.32,-1.26,1.064319767,12.463,34.476,14.026,56.8155713,55.4808,9.73773798642045,12.3242928343474,34.475536030625,1.06431976737399,0.103641086334248,11.4018880846753,-11.4018880846753,6.83,0.271363636363636,15.38,85.12229,1.82474377745242,NA
24,"TXH2.2021",-96.4284433,30.5378851,92,"2021-04-02",24,13.59,22.08,5.26,2.24,25.52,24.76,26.82,10.97,1.42,0.03,0,1.09,4.45,52.62,0.54,0.51,0,2.09,-1.09,1.054672153,12.494,34.652,9.67,56.86278742,55.5964,8.82857003921766,12.3556895136558,34.6519165617025,1.05467215288081,0.10188328918736,10.3307170412824,-10.3307170412824,7.04,0.257727272727273,16.82,87.95776,1.77471590909091,0.807211185
25,"TXH2.2021",-96.4284433,30.5378851,93,"2021-04-03",25,13.36,19.11,9.75,8.09,30,10.2,3.06,5.04,0.69,0.02,0.65,0.29,6.67,71.18,0.54,0.52,0,2.2,0.36,0.630647204,12.524,34.826,1.1,56.35741152,57.4724,3.6279355407001,12.3870204653806,34.8263102608763,0.630647204469851,0.106386445233656,4.28999693777018,-3.63999693777018,6.43,0.292272727272727,9.36,80.52932,1.94774494556765,0.377245509
26,"TXH2.2021",-96.4284433,30.5378851,94,"2021-04-04",26,16.86,26.18,8.22,10.34,30.44,12.28,2.97,6.04,0.84,0.02,0.15,1.05,7.85,70.28,0.54,0.51,0,1.58,-0.9,0.986907224,12.555,34.999,1.065,61.63727592,61.7824,4.35720738378932,12.418279554676,34.9986721997152,0.9869072238762,0.124259886759668,5.30355559711881,-5.15355559711881,9.2,0.418181818181818,17.96,115.506,1.36467391304348,0.358244365
27,"TXH2.2021",-96.4284433,30.5378851,95,"2021-04-05",27,19.53,26.92,11.92,14.07,31.56,16.98,11.48,7.92,1.05,0.03,0.16,1.02,9.99,73.32,0.54,0.51,0,2.33,-0.86,0.86600204,12.585,35.169,4.108,65.81074204,65.7952,6.01075049031863,12.4494605733211,35.1689594960689,0.866002040065159,0.140365288391121,7.47046549313763,-7.31046549313763,11.42,0.519090909090909,15,143.7207,1.10201401050788,0.405529954
28,"TXH2.2021",-96.4284433,30.5378851,96,"2021-04-06",28,22.3,29.11,16.39,16.94,33.63,15.74,9.65,7.32,0.96,0.02,0.04,0.91,12.08,74.54,0.53,0.5,0,4.33,-0.87,1.017238105,12.616,35.337,3.445,70.1599758,69.5984,5.55913747199937,12.4805572344032,35.3371313191962,1.01723810509733,0.167817947734127,7.09220177643023,-7.05220177643023,14.75,0.670454545454545,12.72,186.086,0.855322033898305,0.328251121
29,"TXH2.2021",-96.4284433,30.5378851,97,"2021-04-07",29,22.71,28.27,14.62,16.69,32.34,12.88,9.75,6.11,0.81,0.02,1.32,0.61,12.25,70.69,0.53,0.5,0,2.95,0.71,0.851900651,12.646,35.503,3.473,70.47959201,69.9184,4.5390039651089,12.5115631671638,35.5031488916542,0.85190065101236,0.156563688440007,5.75245686495151,-4.43245686495151,13.445,0.611136363636364,13.65,170.02547,0.940572703607289,0.269044474
30,"TXH2.2021",-96.4284433,30.5378851,98,"2021-04-08",30,21.8,31.76,11.59,12.26,29.9,24.74,26.79,11.21,1.46,0.04,0.16,1.18,9.11,60.35,0.53,0.49,0,2.02,-1.02,1.601036677,12.676,35.667,9.521,68.352687,67.4136,8.69994584228413,12.5424719120214,35.6669754879694,1.60103667728697,0.158499547654552,11.0670998139211,-10.9070998139211,13.675,0.621590909090909,20.17,173.3443,0.926946983546618,0.514220183
31,"TXH2.2021",-96.4284433,30.5378851,99,"2021-04-09",31,24.05,31.75,18.63,19.57,33.75,15.32,6.19,7.17,0.93,0.02,0.68,0.66,14.39,79.22,0.53,0.5,0,3.54,0.02,1.14079971,12.707,35.829,2.195,73.3139259,72.2952,5.37622818270553,12.573276915785,35.8285764301193,1.14079970970729,0.190696896916527,7.0067862258194,-6.3267862258194,17.19,0.781363636363636,13.12,218.43333,0.739208842350204,0.298128898
32,"TXH2.2021",-96.4284433,30.5378851,100,"2021-04-10",32,19.76,27.45,13.32,7.5,27.18,27.66,37.16,12.17,1.57,0.03,0.02,0.85,7.05,52.58,0.52,0.49,0,3.3,-0.83,1.558152884,12.737,35.988,13.152,65.07256992,63.66,9.68730233235288,12.6039715270733,35.9879190798593,1.55815288385835,0.147898055780661,12.2592318245152,-12.2392318245152,12.385,0.562954545454545,14.13,157.747745,1.02842147759386,0.615890688
33,"TXH2.2021",-96.4284433,30.5378851,101,"2021-04-11",33,20.42,31.71,9.95,5.76,26.82,21.11,22.68,9.59,1.25,0.03,0,0.94,5.87,45.75,0.52,0.48,0,1.57,-0.94,2.030879632,12.767,36.145,8.011,65.5466785,63.6936,7.37904356685512,12.6345489919543,36.1449728279389,2.03087963171251,0.151485240099645,9.38683863664211,-9.38683863664211,12.83,0.583181818181818,21.76,163.80061,0.995089633671084,0.46963761
34,"TXH2.2021",-96.4284433,30.5378851,102,"2021-04-12",34,22.25,32.45,12.17,16.05,32.11,21.05,19.39,9.63,1.27,0.03,0.02,0.59,11.57,71.9,0.51,0.48,0,1.96,-0.57,1.323550893,12.796,36.3,6.835,69.8785725,69.228,7.34436468841375,12.6650024498206,36.299709080256,1.32355089319474,0.16394950118931,9.45724457637419,-9.43724457637419,14.31,0.650454545454546,20.28,183.11076,0.894199860237596,0.432808989
35,"TXH2.2021",-96.4284433,30.5378851,103,"2021-04-13",35,24.12,30.63,18.89,20.14,35.61,14.31,5.08,6.85,0.92,0.03,1.48,0.36,14.79,80.67,0.51,0.49,0,1.95,1.12,0.931936181,12.826,36.452,1.787,73.56441796,72.5704,4.98380322550525,12.6953249295155,36.4521012410053,0.931936180887685,0.186484384071822,6.52857983331212,-5.04857983331212,16.76,0.761818181818182,11.74,214.96376,0.76527446300716,0.283996683
36,"TXH2.2021",-96.4284433,30.5378851,104,"2021-04-14",36,23.6,28.18,19.03,19.82,35.33,11.4,4.69,5.57,0.78,0.02,0.79,0.34,14.49,81.25,0.51,0.49,0,2.29,0.45,0.69824211,12.856,36.602,1.647,72.7805,71.9352,3.96345315356719,12.7255093457261,36.6021246928857,0.698242109991617,0.175555635472009,5.16478097135176,-4.37478097135176,15.605,0.709318181818182,9.15,200.61788,0.82383851329702,0.236016949
37,"TXH2.2021",-96.4284433,30.5378851,105,"2021-04-15",37,20.02,26.47,16.1,16.32,32.8,7.49,2.41,3.84,0.54,0.01,11.19,0.26,11.67,80.77,0.52,0.54,0,2.74,10.93,0.7871401,12.885,36.75,0.845,66.97454246,67.0952,2.59971947076815,12.7555484956597,36.7497567744346,0.787140100059492,0.155228819925913,3.3414080753817,7.8485919246183,13.285,0.603863636363636,10.37,171.177225,0.969890854347008,0.191808192
38,"TXH2.2021",-96.4284433,30.5378851,106,"2021-04-16",38,19.9,25.47,16.18,17.59,33.17,6.48,0.72,3.41,0.49,0.01,3.23,0.3,12.68,87.02,0.53,0.53,0,2.66,2.93,0.537029638,12.915,36.895,0.252,67.1189502,67.4324,2.24555282184183,12.7854350560191,36.8949767545657,0.537029638410639,0.151444529776641,2.88131248433584,0.348687515664164,12.825,0.582954545454545,9.29,165.634875,1.00701754385965,0.171356784
39,"TXH2.2021",-96.4284433,30.5378851,107,"2021-04-17",39,15.3,19.69,11.26,7.79,30.19,17.71,7.93,8.21,1.11,0.03,0.12,0.46,6.66,63.4,0.53,0.5,0,3.92,-0.34,0.757132984,12.944,37.038,2.771,59.229998,59.3044,6.12770523971726,12.8151615802932,37.0377658043918,0.757132984009884,0.112853776677026,7.52705970702014,-7.40705970702014,7.475,0.339772727272727,8.43,96.7564,1.73163879598662,0.536601307
40,"TXH2.2021",-96.4284433,30.5378851,108,"2021-04-18",40,14.7,21.44,8.54,6.21,29.01,18.47,12.85,8.65,1.17,0.03,0.12,0.62,5.9,61.13,0.53,0.49,0,2.62,-0.5,0.885122927,12.973,37.178,4.484,58.3616589,58.1356,6.38122827992387,12.8447204963807,37.1781069664198,0.885122927147791,0.109811843867187,7.81257922849482,-7.69257922849482,6.99,0.317727272727273,12.9,90.68127,1.85593705293276,0.588435374
41,"TXH2.2021",-96.4284433,30.5378851,109,"2021-04-19",41,17.55,24.87,10.72,5.5,29.57,21.55,14.61,9.85,1.31,0.03,0.02,0.78,5.68,50.11,0.52,0.49,0,0.84,-0.76,1.312633539,13.002,37.316,5.091,62.05613195,60.73,7.43480153484229,12.8741041045627,37.3159851212104,1.31263353909385,0.128414370701259,9.35552849696504,-9.33552849696504,9.795,0.445227272727273,14.15,127.35459,1.32741194486983,0.561253561
42,"TXH2.2021",-96.4284433,30.5378851,110,"2021-04-20",42,18.52,28.77,10.26,7.02,28.78,26.87,31.7,12.16,1.57,0.04,0.06,0.84,6.26,51.69,0.52,0.48,0,2.99,-0.78,1.597844755,13.031,37.451,11.03,63.38678812,62.2472,9.25764897307817,12.9033045758408,37.451386951601,1.59784475516975,0.141092140562855,11.8304252216184,-11.7704252216184,11.515,0.523409090909091,18.51,150.051965,1.13165436387321,0.656587473
43,"TXH2.2021",-96.4284433,30.5378851,111,"2021-04-21",43,12.42,20.79,5.9,-0.18,25.96,25.27,27.99,11.34,1.49,0.04,0,0.39,3.76,46.44,0.52,0.48,0,3.16,-0.39,1.088999865,13.059,37.584,9.725,55.42944952,53.5552,8.69510848060518,12.9323139506587,37.5843009045932,1.0889998646883,0.100007691814696,10.5063862755806,-10.5063862755806,6.395,0.242954545454545,14.89,83.512305,2.04206411258796,NA
44,"TXH2.2021",-96.4284433,30.5378851,112,"2021-04-22",44,16.79,25.44,7.18,8.15,30.43,13.2,8.53,6.4,0.89,0.02,0.01,0.43,6.99,59.87,0.51,0.48,0,2.58,-0.42,1.049220332,13.087,37.715,2.96,61.29014127,60.924,4.53634155432918,12.9611241380233,37.7147171510122,1.04922033192595,0.118258662006866,5.65500741922797,-5.64500741922798,8.72,0.377727272727273,18.26,114.11864,1.50080275229358,0.381179273
45,"TXH2.2021",-96.4284433,30.5378851,113,"2021-04-23",45,21.06,23.7,16.82,19.59,34.42,4.42,1.08,2.44,0.35,0.01,32.6,0.09,14.42,91.42,0.53,0.61,0,3.16,32.51,0.143577168,13.116,37.843,0.374,69.34606148,69.3124,1.51719361714969,12.9897269150425,37.8426275430495,0.143577168024289,0.146903442875822,1.9571683851866,30.6428316148134,12.26,0.557272727272727,6.88,160.80216,1.06982055464927,0.115859449
46,"TXH2.2021",-96.4284433,30.5378851,114,"2021-04-24",46,21.16,28.3,14.55,15.01,29.38,27.64,32.34,12.43,1.62,0.04,0.77,3.12,10.81,72.16,0.57,0.55,0,3.04,-2.35,1.045033604,13.144,37.968,11.196,68.23708544,67.7636,9.47693917551423,13.0181139268954,37.9680255698028,1.04503360410064,0.156396301255073,12.3428245292404,-11.5728245292404,13.425,0.610227272727273,13.75,176.4582,0.979068901303538,0.587429112
47,"TXH2.2021",-96.4284433,30.5378851,115,"2021-04-25",47,21.28,29.66,13.46,14.36,29.73,22.24,23.05,10.21,1.34,0.03,0.06,2.81,10.2,68.99,0.56,0.53,0,1.98,-2.75,1.215851748,13.172,38.091,7.971,68.20549128,67.6496,7.61728248616761,13.0462766872531,38.0909063109313,1.21585174836562,0.157529105465853,9.94080830057461,-9.88080830057461,13.56,0.616363636363636,16.2,178.61232,0.971386430678466,0.479793233
48,"TXH2.2021",-96.4284433,30.5378851,116,"2021-04-26",48,22.53,31.38,15.57,14.78,32.08,20.3,8.04,9.46,1.29,0.04,0.15,2.3,10.54,67.18,0.55,0.52,0,3.16,-2.15,1.498432267,13.199,38.211,2.777,69.92685746,69.0508,6.94576282445748,13.0742065791632,38.2112663885471,1.49843226724146,0.174360107790702,9.18945442559699,-9.03945442559699,15.475,0.703409090909091,15.81,204.254525,0.852924071082391,0.419884598
49,"TXH2.2021",-96.4284433,30.5378851,117,"2021-04-27",49,24.41,29.29,19.91,20.13,34.92,7.26,0.3,3.79,0.5,0.01,0.04,1.04,14.8,78.64,0.55,0.52,0,3.4,-1,0.842100607,13.227,38.329,0.104,73.83064376,72.8568,2.48165876411839,13.1018948564168,38.3291039174666,0.842100607302496,0.184937085505812,3.30907775905838,-3.26907775905838,16.6,0.754545454545455,9.38,219.5682,0.796807228915663,0.155264236
50,"TXH2.2021",-96.4284433,30.5378851,118,"2021-04-28",50,26.83,33.23,22.34,21.16,35.69,14.53,6.76,6.94,0.89,0.03,0.54,1.76,15.82,73.92,0.54,0.51,0,4.83,-1.22,1.385715864,13.254,38.444,2.331,77.09614864,75.6476,4.96220806581671,13.1293326454101,38.4444184539469,1.38571586439877,0.217857254028383,6.73815198337189,-6.19815198337189,19.785,0.899318181818182,10.89,262.23039,0.669901440485216,0.258665673
51,"TXH2.2021",-96.4284433,30.5378851,119,"2021-04-29",51,25.2,29.97,21.1,21.29,35.98,8.6,1.53,4.41,0.59,0.02,7.02,1.06,15.9,80.7,0.54,0.53,0,2.41,5.96,0.837365629,13.281,38.557,0.527,75.304936,74.0644,2.93449633366396,13.1565109475169,38.5572109430353,0.837365629380546,0.194134390986745,3.94101246935081,3.07898753064919,17.535,0.797045454545455,8.87,232.882335,0.757399486740804,0.175
52,"TXH2.2021",-96.4284433,30.5378851,120,"2021-04-30",52,21.63,23.89,17.96,20.66,35.18,7.49,0.66,3.98,0.57,0.02,47.61,0.39,15.27,94.15,0.6,0.73,0,2.06,47.22,0.075998387,13.307,38.667,0.227,70.51784855,70.2676,2.5536655414355,13.1834206419842,38.6674836646597,0.0759983869687355,0.152260496040173,3.33281824571506,44.2771817542849,12.925,0.5875,5.93,171.992975,1.02955512572534,0.184003699
53,"TXH2.2021",-96.4284433,30.5378851,121,"2021-05-01",53,21.5,26.05,18.23,19.5,34.47,10.11,1.72,5.15,0.71,0.02,23.93,3.92,14.22,88.94,0.65,0.74,0,3.32,20.01,0.465812344,13.334,38.775,0.591,69.927459,69.72,3.44430182901146,13.2100524893649,38.7752401785908,0.465812344254005,0.162475177944832,4.53698326983722,19.3930167301628,14.14,0.642727272727273,7.82,188.54276,0.942998585572843,0.239534884
54,"TXH2.2021",-96.4284433,30.5378851,122,"2021-05-02",54,22.93,28.64,17.25,19.21,32.25,26.76,26.71,12.24,1.61,0.04,1.61,9.22,14.11,81.68,0.65,0.68,0,2.87,-7.61,0.719496954,13.36,38.88,9.178,71.73499176,71.0456,9.11012259493975,13.2363971354978,38.8804852684054,0.719496954192973,0.169556849941338,12.0729368913001,-10.4629368913001,14.945,0.679318181818182,11.39,199.6652,0.893944463031114,0.533798517
55,"TXH2.2021",-96.4284433,30.5378851,123,"2021-05-03",55,25.36,31.16,20.73,22.3,34.19,26.3,26.66,12.06,1.56,0.04,1.01,9.07,17.07,84.64,0.64,0.66,0,2.93,-8.06,0.797176604,13.386,38.983,9.155,75.98813696,74.588,8.94749748346229,13.262445116047,38.9832248845815,0.7971766035279,0.198287233533443,12.079637708163,-11.069637708163,17.945,0.815681818181818,10.43,240.21177,0.745945945945946,0.47555205
56,"TXH2.2021",-96.4284433,30.5378851,124,"2021-05-04",56,22.93,27.03,17.09,19.54,33.23,16.15,10.06,7.87,1.07,0.03,6.68,6.18,14.44,82.22,0.64,0.67,0,2.65,0.5,0.487677292,13.412,39.083,3.452,71.78035554,71.1644,5.49092082411672,13.2881868616086,39.0834660868563,0.487677292025846,0.161785262589982,7.24358066494289,-0.563580664942893,14.06,0.639090909090909,9.94,188.57272,0.953911806543385,0.343218491
57,"TXH2.2021",-96.4284433,30.5378851,125,"2021-05-05",57,19.18,25.93,12.81,14.14,28.06,29.81,38.92,13.42,1.76,0.04,0.05,8.22,10.05,74.83,0.63,0.64,0,2.13,-8.17,0.800193489,13.437,39.181,13.347,65.34398006,65.4704,10.1293125946094,13.3136127033935,39.181216985975,0.800193489248148,0.139984009476762,13.1099618985336,-13.0599618985336,11.37,0.516818181818182,13.12,152.77869,1.18179419525066,0.699687174
58,"TXH2.2021",-96.4284433,30.5378851,126,"2021-05-06",58,21.08,28.71,13.53,15.93,29.61,29.22,37.47,13.35,1.74,0.04,0.01,8.45,11.23,74.94,0.62,0.62,0,1.61,-8.44,0.934560982,13.462,39.276,12.843,68.29775848,68.0148,9.92342297479501,13.3387128794925,39.2764866849607,0.9345609824824,0.153862323745523,13.0202187969091,-13.0102187969091,13.12,0.596363636363637,15.18,176.62144,1.02606707317073,0.633301708
